,date,text
0,17.08.2020," i blandt andet Libyen for grove overgreb, siger migrationsforskere. JP MENER: Dansen med corona fortsætter Statens Serum Instituts direktør, Kåre Mølbak, sagde det på et pressemøde i forrige uge: Dansen med corona vil formentlig vare "
1,16.08.2020,"Statens Serum Instituts direktør, Kåre Mølbak, sagde det på et pressemøde i forrige uge: Dansen med corona vil formentlig vare, til der er skabt en vaccine. Indtil da vil man formentlig se den blusse op med jævne mellemrum og måske endda "
2,14.08.2020,".00 i Spejlsalen i Statsministeriet. pressemøde mette Her vil Mette Frederiksen deltage, men der er ikke yderligere oplysninger om, hvorvidt eksempelvis Søren Brostrøm og Kåre Mølbak fra Statens Serum Institut vil deltage, som det har været tilfældet ved "
3,13.08.2020,"E-mails peger på, at direktør i Sundhedsstyrelsen Søren Brostrøm og faglig direktør i Statens Serum Institut Kåre Mølbak tilsyneladende blot blev orienteret om den vidtgående nedlukning af samfundet, som statsminister Mette Frederiksen (S "
4,11.08.2020,"Mandag eftermiddag holdt sundheds- og ældreminister Magnus Heunicke pressemøde sammen med bl. a. Søren Brostrøm fra Sundhedsstyrelsen og Kåre Mølbak fra Statens Serum Institut. Her oplyste ministeren, at der fremover anbefales brug "
5,11.08.2020," side af viser musikbranchen noget respekt,« skriver han. Store dele af fase fire-genåbning hænger i tynd tråd - regeringen vil lytte til Kåre Mølbak Kultur- og kirkeminister Joy Mogensen ser ikke de danske spillesteder og natklubber "
6,10.08.2020," ikke Som Kåre Mølbak, faglig direktør på Statens Serum Institut, formulerer det: »Hvis der var nogen, der i foråret havde en drøm om, at virus var væk, så skete det ikke. Virus er her stadig, og det handler om at agere tidligt og målrettet,« sagde han "
7,10.08.2020,"- Der var måske nogen, der troede, at corona bare var en dum drøm i foråret. At vi ville gå ind i et efterår uden corona. Men det var ikke en dum drøm. Virus er her stadigvæk. Sådan lyder det fra Kåre Mølbak. Som faglig direktør i Statens "
8,10.08.2020,". På pressemødet blev der også spurgt til, om det kan blive nødvendigt at lukke Danmark ned igen, som det var tilfældet i epidemiens start. Dansk apotek reklamerede for mundspray mod corona Ifølge Kåre Mølbak, faglig direktør hos Statens Serum Institut "
9,10.08.2020,"Kontakttallet er steget til 1,4, og det betyder, at coronavirus lige nu spreder sig blandt befolkningen. Det oplyser Kåre Mølbak, faglig direktør i Statens Serum Institut, på et pressemøde mandag eftermiddag. Tallet på 1,4 dækker over "
10,10.08.2020, (S) samt transportminister Benny Engelbrecht (S). Liveblog: Seneste nyt om coronakrisen Også direktør i Sundhedsstyrelsen Søren Brostrøm og faglig direktør i Statens Serum Institut Kåre Mølbak vil være med til briefingen. Derudover deltager 
11,10.08.2020," at spritte hænder. Og nu kommer den dyreste mand for dansk økonomi Kåre Mølbak med en ny udmelding. Danskerne skal ruskes op, mener JP. På med mundbindet i den kollektive trafik. Det gælder alle danskere, for tallene er »alarmerende«, og Mølbak "
12,07.08.2020," i Aarhus, og for instituttets faglige direktør, Kåre Mølbak, er Aarhus og Danmark en del af en stigende smittekurve, som viser sig adskillige steder i Europa – bl.a. Spanien, hvor Udenrigsministeriet torsdag frarådede ferierejser til. Mølbak "
13,07.08.2020," arrangementer. Natklubejere: Bliver fjerde fase udskudt, skal vi have bedre hjælpepakker Tirsdag udtalte faglig direktør i Statens Serum Institut (SSI) Kåre Mølbak, at tiden efter hans mening ikke var til at sætte forsamlingsforbuddet op "
14,06.08.2020,", men tirsdag advarede faglig direktør i Statens Serum Institut Kåre Mølbak mod at effektuere den del af den aftalte genåbningsplan.tool_DW_tabel_antal-coronatilfælde_DANMARK DF er bekymret I den blå side af Folketinget er der også ønske om at udsætte "
15,05.08.2020," fire-genåbning hænger i tynd tråd - regeringen vil lytte til Kåre Mølbak »Mere information, og gerne i mere personlig form – f.eks. som ambassadører, som både kan bære den nyttige viden ind i de etniske miljøer, men også samtidig kan hjælpe "
16,05.08.2020,", at da der skulle smitteopspores efter et udbrud på en natklub i Zürich fandt man, at flere gæster havde opgivet falske navne såsom ""Anders And."" Store dele af fase fire-genåbning hænger i tynd tråd - regeringen vil lytte til Kåre Mølbak Det er ikke kun i Schweiz "
17,05.08.2020," af Clemens Bar i Aarhus. Meldingen kommer, efter at Kåre Mølbak tirsdag meddelte, at han sundhedsfagligt ikke kan anbefale den planlagte fase fire-genåbning, som omfatter diskoteker, natteliv, spillesteder etc. på grund af de stigende smittetal "
18,05.08.2020," det. Tirsdag anbefalede faglig direktør for SSI Kåre Mølbak at sætte genåbningen på pause. Berlingske: En række topøkonomer kritiserer regeringen for dens ""nye"" argument for at indføre en ret til tidligere pension, nemlig at give plads "
19,04.08.2020," Institut, Kåre Mølbak. Tirsdag blev der registreret 77 nye smittede i landet, og dermed er den seneste uges smittetal fortsat på et forhøjet niveau. Det fik tirsdag Mølbak til at meddele, at han sundhedsfagligt ikke kan anbefale politikerne "
20,04.08.2020,"Store dele af den planlagte fase fire-genåbning hænger nu i en tynd tråd. Sådan lød det tirsdag aften fra sundhedsminister Magnus Heunicke, efter at direktøren for Statens Serum Institut, Kåre Mølbak, tidligere tirsdag havde meddelt "
