,date,text
0,28.08.2020,". Også de regler ophæves. - Smitteudbredelsen i Aarhus går fortsat den rigtige vej. - Det er stadig afgørende, at myndighedernes retningslinjer og anbefalinger følges, skriver sundheds- og ældreminister Magnus Heunicke (S) på Twitter. August blev en dyr "
1,27.08.2020," coronaindlæggelser herhjemme. Sundheds- og ældreminister Magnus Heunicke (S) skrev tirsdag på Twitter, at kontakttallet var faldet til 0,8. Det betyder, at hver smittede i gennemsnittet smitter 0,8 personer Det vil sige, at antallet af smittede falder. "
2,27.08.2020," Beich. tool_DW_datakort_corona_smittede-seneste-7-dage »En god strategi« Sundhedsminister Magnus Heunicke forstår godt kritikken af de lange ventetider, men han er ikke indstillet på at lukke eller mindske adgangen for mennesker uden symptomer "
3,26.08.2020, Christensen. Hun opfordrer sundhedsminister Magnus Heunicke (S) og beskæftigelsesminister Peter Hummelgaard (S) til at sætte sig i spidsen for arbejdet med en national plan. 16.480 danskere har siden februar været konstateret smittet med coronavirus. 
4,26.08.2020," skal forældre ikke vente i telefonen hos egen læge for at få barnets prøvesvar. Med den nye visning på sundhed.dk kan forældre nu hurtigt finde frem til prøvesvaret digitalt«, siger sundheds- og ældreminister Magnus Heunicke i en pressemeddelelse "
5,25.08.2020," i den seneste uge, og noget tyder på, at epidemien igen er på tilbagetog herhjemme. Sundhedsminister Magnus Heunicke skriver tirsdag eftermiddag på Twitter, at kontakttallet - altså hvor mange én coronasmittet person i gennemsnittet smitter videre "
6,25.08.2020,"Danmark har håndsprit nok til mere end to år liggende på de lagre, der skal forsyne sygehuse, sundhedsvæsen og plejehjem under coronakrisen. Det oplyste sundhedsminister Magnus Heunicke tirsdag under et samråd i Folketingets Sundheds "
7,25.08.2020,"Kontakttallet er faldet til 0,8. Det skriver sundhedsminister Magnus Heunicke (S) på det sociale medie Twitter. Kontakttallet beskriver, hvor mange andre en coronasmittet i gennemsnit smitter - Stort skulderklap til alle, der følger "
8,24.08.2020," gennemføres i overensstemmelse med sundhedsmyndighedernes anbefalinger, når der åbnes for fysisk fremmøde, lyder det i pressemeddelelsen.Eleverne strejker og demonstrerer for at komme i skole På Facebook har sundheds- og ældreminister Magnus Heunicke "
9,23.08.2020,". Og det skal ikke være en mulighed for kommunerne – det skal være et krav,« siger hun, der nu igen vil forlange en forklaring af sundhedsminister Magnus Heunicke. På den modsatte side af folketingssalen er sundhedsordfører Peder Hvelplund fra Enhedslisten helt enig "
10,23.08.2020,"- og ældreminister Magnus Heunicke i forbindelse med offentliggørelsen af aftalen. »En vaccine er et meget vigtigt redskab i indsatsen mod coronavirus og i bestræbelserne for, at vi kan vende tilbage til et normalt liv. Det har været højt prioriteret "
11,22.08.2020," og behandle dem for det,« siger han. »Jeg har en fornemmelse af, at folk hamstrer testtider« Sundhedsminister Magnus Heunicke er bestemt ikke afvisende i en skriftlig kommentar: »Vi er allerede i gang med arbejdet med at øge kapaciteten "
12,21.08.2020," mod et »testhysteri«, som både er uhensigtsmæssigt og dyrt. På et pressemøde fredag lovede sundhedsminister Magnus Heunicke, at man skruer gevaldigt op for både testpersonale og laboratorieudstyr efter kritik af lange ventetider til både bookning af test "
13,21.08.2020," antal daglige tilfælde, der er oplyst i august. Her har der ellers langt de fleste dage været over 100 nye smittetilfælde om dagen. Sundheds- og ældreminister Magnus Heunicke (S) siger på et pressemøde fredag, at stigningen - både nationalt "
14,21.08.2020,"Udsatte grupper, som kan have svært ved at finde penge i budgettet til at betale for mundbind, vil få adgang til gratis mundbind. Det fremgår af en aftale mellem regeringen og kommunerne, sagde sundhedsminister Magnus Heunicke fredag "
15,20.08.2020,"Danskerne skal vente for lang tid, før de kan få testet, om de har covid-19. Det erkender sundhedsminister Magnus Heunicke (S) over for DR. Det gør han, efter at en gennemgang fra mediet har vist, at man på flere teststeder skal vente mere "
16,20.08.2020," ikke tilrådes at åbne før tidligst 4. september. Brevet er torsdag eftermiddag sendt til statsminister Mette Frederiksen, sundheds- og ældreminister Magnus Heunicke og børne- og undervisningsminister Pernille Rosenkrantz-Theil. »Eleverne i Aarhus "
17,20.08.2020," fra rektorer, direktører og bestyrelsesformænd på ungdomsuddannelserne i Aarhus til statsminister Mette Frederiksen, sundheds- og ældreminister Magnus Heunicke og børne- og undervisningsminister Pernille Rosenkrantz-Theil. Brevet modtager ministrene "
18,20.08.2020," sig teste. Det mener Venstre, som derfor har sendt et brev til sundheds- og ældreminister Magnus Heunicke (S). I brevet, der har V-næstformand Inger Støjberg, finansordfører Troels Lund Poulsen og sundhedsordfører Martin Geertsen som afsendere "
19,19.08.2020,"Sundhedsminister Magnus Heunicke har på Twitter onsdag fortalt, at kontakttallet for coronasmitte i Danmark er gået ned på 1. Kontakttallet er et udtryk for, hvor mange en coronasmittet smitter. Et kontakttal på 1 betyder altså "
20,16.08.2020," en behandling og pleje, der gør, at ældre mennesker ikke unødigt skal indlægges med eksempelvis en urinvejsinfektion, der kunne undgås. Sundheds- og ældreminister Magnus Heunicke meldte ud på TV 2, at i takt med, at der kommer flere ældre, følger "
21,15.08.2020," i smittetilfældene. Men sundheds- og ældreminister Magnus Heunicke (S) sagde på pressemødet lørdag, at man stadig holder godt øje med udviklingen i Aarhus, Silkeborg og Ringsted kommuner. Også kommunerne på Københavns Vestegn monitoreres tæt, sagde han "
22,15.08.2020,Det seneste døgn er der registreret 104 nye smittede med covid-19 i Danmark. Det siger sundheds- og ældreminister Magnus Heunicke (S) på et pressemøde i Statsministeriet. Pressemødet har primært handlet om krav om mundbind eller visir 
23,15.08.2020,". Der bliver behov for at prioritere hårdt,« siger hun. Meldingen om obligatoriske mundbind kommer, efter sundhedsmyndighederne og sundhedsminister Magnus Heunicke for en uge siden besluttede, at mundbind er påkrævet i offentlig transport i Aarhus "
24,14.08.2020,"Danskerne vil snart blive mødt med et påbud om at bære mundbind, når de skal rejse med bus, tog, metro eller letbane rundt i landet. Det har sundhedsminister Magnus Heunicke meddelt i de politiske forhandlinger om fase 4 i genåbningen "
25,14.08.2020,"Den såkaldte ”Smittestop-app” har netop rundet over en million downloads, siden den blev lanceret i juni. Det skriver sundheds- og ældreminister Magnus Heunicke på Twitter. Appen, der sender advarsler, hvis man har været i nærheden "
26,12.08.2020,"Hvis du skal handle i et indkøbscenter, et supermarked eller en stor butik i Silkeborg, så anbefaler myndighederne, at du ifører dig et mundbind. Det var udmeldingen fra sundhedsminister Magnus Heunicke under et pressemøde mandag den 10 "
27,12.08.2020,", at der er et problem, ser jeg ikke nogen grund til at ændre på det, siger han. Enhedslisten er imod Venstres forslag, fortalte sundhedsordfører Peder Hvelplund tidligere onsdag til Ritzau. Hverken sundheds- og ældreminister Magnus Heunicke (S "
28,11.08.2020, og har den seneste uge stået for en stor del af den daglige nationale smittestigning. I den forgangne uge blev der registreret flere end 50 nye smittede per 100.000 indbyggere i Aarhus Kommune. Fredag valgte sundhedsminister Magnus Heunicke i et forsøg 
29,11.08.2020,"Mandag eftermiddag holdt sundheds- og ældreminister Magnus Heunicke pressemøde sammen med bl. a. Søren Brostrøm fra Sundhedsstyrelsen og Kåre Mølbak fra Statens Serum Institut. Her oplyste ministeren, at der fremover anbefales brug "
30,11.08.2020," indfører restriktioner for at inddæmme covid-19. Det samme har en lang række andre partier. På et pressemøde mandag blev sundhedsminister Magnus Heunicke (S) spurgt om, hvorvidt regeringen agter at fremlægge en national plan. Det svarede "
31,11.08.2020," Magnus Heunicke talte på mandagens pressemøde meget varmt for, at de konkrete smitteudbrud rundt i landet mødes med restriktioner og smitteopsporing – og mundbind. Men samtidig slog han fast, at der ikke umiddelbart er planer om at gøre mundbind "
32,11.08.2020," kommuner DF opfordrer på den baggrund sundhedsminister Magnus Heunicke og myndighederne til at få styr på, om det er enkelte begivenheder blandt etniske mindretal der har været skyld i spredningen, eller om der spiller andre faktorer ind. Et notat "
33,11.08.2020," i weekenden til mangelsituationer og stærkt stigende priser. Regeringen arbejder ifølge siger sundhedsminister Magnus Heunicke (S) for at lægge en dæmper på pris og mangelsituationer. - Det er rigtigt, at mundbindsmarkedet i Danmark har været præget "
34,11.08.2020,". Det oplyser Transportministeriet i en mail til Ritzau i forlængelse af et pressemøde mandag. Sundhedsminister Magnus Heunicke (S) siger på pressemødet, at der ses en bekymrende smittespredning med coronavirus i flere kommuner. Blandt andet "
35,10.08.2020,",« siger han med opfordring til, at man kigger mod andre lande for at se, om en mere effektiv model kan udbredes herhjemme. Sundhedsminister Magnus Heunicke sagde på mandagens pressemøde, at det afhænger af danskernes evne til at følge "
36,10.08.2020," Danmark ned går vi ind med nålestiksoperationer, når smitten bryder ud,« sagde Magnus Heunicke og henviste helt konkret til Silkeborg, hvor smitten er for opadgående, og hvor regeringen nu kopierer kravet om mundbind i den kollektive trafik "
37,10.08.2020," til også at bruge mundbind i butikker. Det fortalte sundheds- og ældreminister Magnus Heunicke (S) på et pressemøde mandag eftermiddag, hvor ministeren oplyste, at der fremover anbefales brug af mundbind i indkøbscentre, supermarkeder og større "
38,10.08.2020," afstand, så tag et mundbind på. Man bør altid have et mundbind med sig på sin rejse, siger transportministeren. Sundhedsminister Magnus Heunicke (S) siger på pressemødet, at der ses en bekymrende smittespredning med coronavirus i flere kommuner "
39,10.08.2020,". Sundhedsminister Magnus Heunicke (S) blev på mandagens pressemøde flere gange spurgt, om han vil udelukke, at Danmark lukker ned igen, som det skete i foråret. Her måtte mange blive hjemme fra skoler og arbejdspladser i en periode. Til det siger Heunicke "
40,10.08.2020," kunne sundhedsminister Magnus Heunicke nemlig proklamere, at mundbind ville blive et krav i den offentlige transport i Aarhus. Kravet gælder frem til den 1. september, så nu skal pendlere i Aarhus vænne sig til tanken om at bruge mundbind "
41,10.08.2020,»Der er grund til bekymring.« Sådan lyder meldingen fra sundheds- og ældreminister Magnus Heunicke på et pressemøde mandag eftermiddag i forbindelse med det stigende antal danskere smittet med coronavirus. Alligevel er det ifølge 
42,10.08.2020," pressemøde vil sundheds- og ældreminister Magnus Heunicke (S) ikke afvise, at det kan blive nødvendigt igen. - Vi er parate til at gøre det der skal til for at holde epidemien og virus under kontrol, siger han. - I dag har vi et meget mere "
43,10.08.2020,"- og ældreminister Magnus Heunicke (S) på et pressemøde mandag eftermiddag. »Vi har rettet fokus mod syv kommuner, hvor smitteantallet er over 20 pr. 100.000 indbyggere. Det gælder udover Aarhus, Ringsted og Silkeborg også Glostrup, Nyborg, Solrød og Sorø "
44,10.08.2020, lokale coronaudbrud - herunder Aarhus og Ringsted. Der vil også blive talt om den nye bekendtgørelse omkring krav om mundbind i den kollektive trafik i Aarhus Kommune. Til stede fra regeringen vil være sundheds- og ældreminister Magnus Heunicke 
45,10.08.2020," start. Kravet om mundbind blev meddelt i fredags af sundhedsminister Magnus Heunicke (S). Kravet skal være med til at dæmme op for den stigende coronasmitte i Aarhus. En medarbejder fra Ritzau beretter, at folk generelt har været iført mundbind "
46,10.08.2020,Kravet om mundbind i al offentlig transport i Aarhus gælder fra 11. august til 1. september. Det viser en bekendtgørelse fra Sundheds- og Ældreministeriet mandag. I fredags meddelte sundhedsminister Magnus Heunicke (S) efter et møde 
47,08.08.2020," på en af universitetets lokaliteter i Aarhus Kommune, er som udgangspunkt aflyst. Sammenkomster og boldspil De aarhusianske gymnasier har også reageret på sundheds- og ældreminister Magnus Heunickes opfordring til at udskyde skolestart i to uger. I fællesskab "
48,07.08.2020,.000 indbyggere. Men ifølge B.T.'s opgørelse er det altså ikke let for bekymrede borgere i Aarhus Kommune at få hurtig adgang til en test. Situationen har fredag fået sundhedsminister Magnus Heunicke (S) til at indføre flere tiltag for at begrænse 
49,07.08.2020," Magnus Heunicke (S) til at indføre en række tiltag - herunder krav om mundbind i offentlig transport i Aarhus. Aarhus har fået sine egne 10 bud for at bremse coronasmitten Og derudover anbefales det, at fysisk fremmøde på gymnasier "
