,date,text
0,28.08.2020,"). Dernæst blev han formand for Dansk Ungdoms Fællesråd (DUF), og siden har han sat sig på den ene politiske stilling efter den anden. Fredag placerede han sig så på toppen af kransekagen som stabschef for statsminister Mette Frederiksen. Martin "
1,28.08.2020," til et statsautoriseret sortsyn. Bundsgaard havde heldigvis ikke taget ved lære af Mette Frederiksens omklamrende retorik i statsministerens taler til befolkningen. Hans sætninger var trods alt længere, ordene havde flere stavelser, og tonen var ikke så "
2,28.08.2020,"Umiddelbart lyder det voldsomt, når statsminister Mette Frederiksen vil styrke sit ministerium med 15-20 årsværk. Det vil gøre Statsministeriet større end det har været i over 100 år. Men ifølge Jyllands-Postens politiske redaktør Marchen "
3,28.08.2020,"Statsminister Mette Frederiksen (S) har fundet afløseren for sin højre hånd Martin Rossen. Det bliver Martin Justesen, som overtager stillingen som stabschef i det politiske sekretariat i Statsministeriet. Det oplyser Statsministeriet "
4,28.08.2020,Mette Frederiksens Statsministerium vil den kommende tid blive udvidet. Det skriver Ugebrevet Mandag Morgen. Konkret har regeringen afsat yderligere 18 millioner kroner i Statsministeriets bevilling i finanslovsforslaget for 2021 
5,27.08.2020,"Regeringen har et argument, som går igen, når den skal begrunde sit forslag om tidlig pension, nemlig at det er uretfærdigt, at faglærte og ufaglærte i dag lever kortere end folk med længere uddannelser. Som statsminister Mette Frederiksen "
6,27.08.2020,". Det var en af de første grafer, som statsminister Mette Frederiksen viste frem på en skærm under et pressemøde. »Hvad betyder de der år?« spurgte hun og svarede selv: »Det kan være forskellen på noget rigtig, rigtig stort. Om man oplever sine børnebørn vokse op "
7,27.08.2020,"Statsminister Mette Frederiksen (S) var meget klar, da hun i sidste uge satte retningen for regeringens udspil til et politiforlig. Politiet skulle tættere på borgerne, og der skulle sættes hårdt ind over for ""indvandrerdrenge"", der blandt "
8,27.08.2020,"Statsminister Mette Frederiksen (S) var torsdag på besøg hos 3F i Kastrup. Her er nogle af de medarbejdere, der er blevet fyret som følge af tilbagegangen i luftfartsbranchen under coronakrisen, organiseret. Dem vil regeringen forsøge "
9,27.08.2020,"Statsminister Mette Frederiksen (S) vil ikke kommentere situationen omkring den nu hjemsendte departementschef i Forsvarsministeriet og tidligere chef for Forsvarets Efterretningstjeneste Thomas Ahrenkiel, som 30. juni blev udpeget "
10,27.08.2020,"Heller ikke Liberal Alliances leder, Alex Vanopslagh, blev i weekenden inviteret til en fortrolig orientering om skandalen i Forsvarets Efterretningstjeneste (FE) hos statsminister Mette Frederiksen (S). Det skriver Berlingske "
11,27.08.2020," planlagde et ""angreb på Venstre"". Blandt andet med ting fra forhandlingsrummet. Statsminister Mette Frederiksen (S) måtte beklage, og Venstre konstaterede, at tilliden til regeringen ""kan ligge på et meget lille sted"". "
12,27.08.2020," parter og regeringen forsøger i ellevte time at lande en jobdelingsordning for at afværge en fyringsbølge, når den populære ordning med lønkompensation udløber på lørdag. JP MENER: Løftebrud på løftebrud Mette Frederiksen lover at holde skatten "
13,26.08.2020,"Mette Frederiksen var ikke til at misforstå under en partilederdebat i maj: Regeringen vil ikke sætte skatterne op. »Det ville være et mærkværdigt svar til dansk erhvervsliv, der står i en rigtig, rigtig svær situation,« erklærede "
14,26.08.2020," var da også store. 29.500 partoutbilletter blev i december 2019 solgt i ny rekordtid – 59 minutter. Få måneder senere ramte coronapandemien – og den 6. april kl. 20 holdt statsminister Mette Frederiksen et coronapressemøde, hvor hun effektivt manede "
15,26.08.2020,", siger hun. Enhedslistens Søren Søndergaard er heller ikke umiddelbart så lun på idéen om at dele Kulturministeriet op. Han henviser dog til, at en sådan beslutning ligger hos statsminister Mette Frederiksen (S). Det har ikke været muligt "
