,date,text
0,"<span class=""artDateTime"">17.08.2020</span>","<div class=""artDesc""> i blandt andet Libyen for grove overgreb, siger migrationsforskere. JP MENER: Dansen med corona fortsætter Statens Serum Instituts direktør, <b>Kåre</b> <b>Mølbak</b>, sagde det på et pressemøde i forrige uge: Dansen med corona vil formentlig vare </div>"
1,"<span class=""artDateTime"">16.08.2020</span>","<div class=""artDesc"">Statens Serum Instituts direktør, <b>Kåre</b> <b>Mølbak</b>, sagde det på et pressemøde i forrige uge: Dansen med corona vil formentlig vare, til der er skabt en vaccine. Indtil da vil man formentlig se den blusse op med jævne mellemrum og måske endda </div>"
2,"<span class=""artDateTime"">14.08.2020</span>","<div class=""artDesc"">.00 i Spejlsalen i Statsministeriet. pressemøde mette Her vil Mette Frederiksen deltage, men der er ikke yderligere oplysninger om, hvorvidt eksempelvis Søren Brostrøm og <b>Kåre</b> <b>Mølbak</b> fra Statens Serum Institut vil deltage, som det har været tilfældet ved </div>"
3,"<span class=""artDateTime"">13.08.2020</span>","<div class=""artDesc"">E-mails peger på, at direktør i Sundhedsstyrelsen Søren Brostrøm og faglig direktør i Statens Serum Institut <b>Kåre</b> <b>Mølbak</b> tilsyneladende blot blev orienteret om den vidtgående nedlukning af samfundet, som statsminister Mette Frederiksen (S </div>"
4,"<span class=""artDateTime"">11.08.2020</span>","<div class=""artDesc"">Mandag eftermiddag holdt sundheds- og ældreminister Magnus Heunicke pressemøde sammen med bl. a. Søren Brostrøm fra Sundhedsstyrelsen og <b>Kåre</b> <b>Mølbak</b> fra Statens Serum Institut. Her oplyste ministeren, at der fremover anbefales brug </div>"
5,"<span class=""artDateTime"">11.08.2020</span>","<div class=""artDesc""> side af viser musikbranchen noget respekt,« skriver han. Store dele af fase fire-genåbning hænger i tynd tråd - regeringen vil lytte til <b>Kåre</b> <b>Mølbak</b> Kultur- og kirkeminister Joy Mogensen ser ikke de danske spillesteder og natklubber </div>"
6,"<span class=""artDateTime"">10.08.2020</span>","<div class=""artDesc""> ikke Som <b>Kåre</b> <b>Mølbak</b>, faglig direktør på Statens Serum Institut, formulerer det: »Hvis der var nogen, der i foråret havde en drøm om, at virus var væk, så skete det ikke. Virus er her stadig, og det handler om at agere tidligt og målrettet,« sagde han </div>"
7,"<span class=""artDateTime"">10.08.2020</span>","<div class=""artDesc"">- Der var måske nogen, der troede, at corona bare var en dum drøm i foråret. At vi ville gå ind i et efterår uden corona. Men det var ikke en dum drøm. Virus er her stadigvæk. Sådan lyder det fra <b>Kåre</b> <b>Mølbak</b>. Som faglig direktør i Statens </div>"
8,"<span class=""artDateTime"">10.08.2020</span>","<div class=""artDesc"">. På pressemødet blev der også spurgt til, om det kan blive nødvendigt at lukke Danmark ned igen, som det var tilfældet i epidemiens start. Dansk apotek reklamerede for mundspray mod corona Ifølge <b>Kåre</b> <b>Mølbak</b>, faglig direktør hos Statens Serum Institut </div>"
9,"<span class=""artDateTime"">10.08.2020</span>","<div class=""artDesc"">Kontakttallet er steget til 1,4, og det betyder, at coronavirus lige nu spreder sig blandt befolkningen. Det oplyser <b>Kåre</b> <b>Mølbak</b>, faglig direktør i Statens Serum Institut, på et pressemøde mandag eftermiddag. Tallet på 1,4 dækker over </div>"
10,"<span class=""artDateTime"">10.08.2020</span>","<div class=""artDesc""> (S) samt transportminister Benny Engelbrecht (S). Liveblog: Seneste nyt om coronakrisen Også direktør i Sundhedsstyrelsen Søren Brostrøm og faglig direktør i Statens Serum Institut <b>Kåre</b> <b>Mølbak</b> vil være med til briefingen. Derudover deltager </div>"
11,"<span class=""artDateTime"">10.08.2020</span>","<div class=""artDesc""> at spritte hænder. Og nu kommer den dyreste mand for dansk økonomi <b>Kåre</b> <b>Mølbak</b> med en ny udmelding. Danskerne skal ruskes op, mener JP. På med mundbindet i den kollektive trafik. Det gælder alle danskere, for tallene er »alarmerende«, og Mølbak </div>"
12,"<span class=""artDateTime"">07.08.2020</span>","<div class=""artDesc""> i Aarhus, og for instituttets faglige direktør, <b>Kåre</b> <b>Mølbak</b>, er Aarhus og Danmark en del af en stigende smittekurve, som viser sig adskillige steder i Europa – bl.a. Spanien, hvor Udenrigsministeriet torsdag frarådede ferierejser til. Mølbak </div>"
13,"<span class=""artDateTime"">07.08.2020</span>","<div class=""artDesc""> arrangementer. Natklubejere: Bliver fjerde fase udskudt, skal vi have bedre hjælpepakker Tirsdag udtalte faglig direktør i Statens Serum Institut (SSI) <b>Kåre</b> <b>Mølbak</b>, at tiden efter hans mening ikke var til at sætte forsamlingsforbuddet op </div>"
14,"<span class=""artDateTime"">06.08.2020</span>","<div class=""artDesc"">, men tirsdag advarede faglig direktør i Statens Serum Institut <b>Kåre</b> <b>Mølbak</b> mod at effektuere den del af den aftalte genåbningsplan.tool_DW_tabel_antal-coronatilfælde_DANMARK DF er bekymret I den blå side af Folketinget er der også ønske om at udsætte </div>"
15,"<span class=""artDateTime"">05.08.2020</span>","<div class=""artDesc""> fire-genåbning hænger i tynd tråd - regeringen vil lytte til <b>Kåre</b> <b>Mølbak</b> »Mere information, og gerne i mere personlig form – f.eks. som ambassadører, som både kan bære den nyttige viden ind i de etniske miljøer, men også samtidig kan hjælpe </div>"
16,"<span class=""artDateTime"">05.08.2020</span>","<div class=""artDesc"">, at da der skulle smitteopspores efter et udbrud på en natklub i Zürich fandt man, at flere gæster havde opgivet falske navne såsom ""Anders And."" Store dele af fase fire-genåbning hænger i tynd tråd - regeringen vil lytte til <b>Kåre</b> <b>Mølbak</b> Det er ikke kun i Schweiz </div>"
17,"<span class=""artDateTime"">05.08.2020</span>","<div class=""artDesc""> af Clemens Bar i Aarhus. Meldingen kommer, efter at <b>Kåre</b> <b>Mølbak</b> tirsdag meddelte, at han sundhedsfagligt ikke kan anbefale den planlagte fase fire-genåbning, som omfatter diskoteker, natteliv, spillesteder etc. på grund af de stigende smittetal </div>"
18,"<span class=""artDateTime"">05.08.2020</span>","<div class=""artDesc""> det. Tirsdag anbefalede faglig direktør for SSI <b>Kåre</b> <b>Mølbak</b> at sætte genåbningen på pause. Berlingske: En række topøkonomer kritiserer regeringen for dens ""nye"" argument for at indføre en ret til tidligere pension, nemlig at give plads </div>"
19,"<span class=""artDateTime"">04.08.2020</span>","<div class=""artDesc""> Institut, <b>Kåre</b> <b>Mølbak</b>. Tirsdag blev der registreret 77 nye smittede i landet, og dermed er den seneste uges smittetal fortsat på et forhøjet niveau. Det fik tirsdag Mølbak til at meddele, at han sundhedsfagligt ikke kan anbefale politikerne </div>"
20,"<span class=""artDateTime"">04.08.2020</span>","<div class=""artDesc"">Store dele af den planlagte fase fire-genåbning hænger nu i en tynd tråd. Sådan lød det tirsdag aften fra sundhedsminister Magnus Heunicke, efter at direktøren for Statens Serum Institut, <b>Kåre</b> <b>Mølbak</b>, tidligere tirsdag havde meddelt </div>"
21,"<span class=""artDateTime"">04.08.2020</span>","<div class=""artDesc"">, spillesteder og natteliv, men dette frarådes nu af <b>Kåre</b> <b>Mølbak</b>, faglig direktør i Statens Seruminstitut. I en situation, da antallet af coronasmittede er voksende, giver det grund til bekymring; i særdeleshed da alt for mange danskere synes </div>"
22,"<span class=""artDateTime"">04.08.2020</span>","<div class=""artDesc""> direktør <b>Kåre</b> <b>Mølbak</b> meldte tirsdag ud, at instituttet »ikke vil anbefale politikerne yderligere genåbning«. Mølbak slog over for Jyllands-Posten fast, at smittetrykket i Danmark på nuværende tidspunkt er så højt, at man ikke sundhedsfagligt kan </div>"
23,"<span class=""artDateTime"">04.08.2020</span>","<div class=""artDesc"">Hvis man spørger <b>Kåre</b> <b>Mølbak</b>, faglig direktør ved Statens Serum Institut, er det ikke sundhedsfagligt forsvarligt at tage hul på den næste fase af genåbningen af Danmark med det nuværende smittetryk. Det sagde han tirsdag om genåbningens </div>"
24,"<span class=""artDateTime"">04.08.2020</span>","<div class=""artDesc""> faglige direktør <b>Kåre</b> <b>Mølbak</b>. Den seneste stigning i smittetallene fik tirsdag Statens Serum Institut til at advare politikerne mod den genåbning af nattelivet, som er planlagt i august. Sundhedseksperter har også påpeget, at det er vigtigt </div>"
25,"<span class=""artDateTime"">04.08.2020</span>","<div class=""artDesc"">Fase 4 af genåbningen af samfundet bør udskydes. Sådan er meldingen fra Enhedslisten og SF, efter at direktør hos Statens Serum Institut <b>Kåre</b> <b>Mølbak</b> tirsdag har sagt til fagbladet Ingeniøren, at han ikke kan anbefale yderligere genåbning </div>"
26,"<span class=""artDateTime"">04.08.2020</span>","<div class=""artDesc""><b>Kåre</b> <b>Mølbak</b>, faglig direktør hos Statens Serum Institut, kan ikke sundhedsfagligt anbefale næste fase af genåbningen af Danmark. Statens Serum Institut oplyser til Jyllands-Posten, at man lige nu ser på den del af fase fire af genåbningen </div>"
27,"<span class=""artDateTime"">04.08.2020</span>","<div class=""artDesc""> en stigning i de nærliggende kommuner - faktisk i hele Region Midt. Så det er nok et mere generelt problem og ikke alene til knyttet nogle enkelt arrangementer, siger han. Udviklingen i antallet af coronasmittede i Aarhus vækker bekymring Ifølge <b>Kåre</b> </div>"
28,"<span class=""artDateTime"">03.08.2020</span>","<div class=""artDesc"">. Onsdag 8. april blev der alene registreret 408 nye coronasmittede. Stigningen er da heller ikke alarmerende endnu ifølge faglig direktør i SSI <b>Kåre</b> <b>Mølbak</b>. - Men stigningen viser, at vi stadig er i en epidemi, og vi skal gøre alt, hvad vi kan </div>"
29,"<span class=""artDateTime"">28.07.2020</span>","<div class=""artDesc"">. marts. 6: Hvad så med Statens Serum Institut? Faglig direktør fra Statens Serum Institut <b>Kåre</b> <b>Mølbak</b> har på dagen for samrådet i Folketinget med Mette Frederiksen bl.a. udtalt til Politiken, at han ikke anbefalede det konkrete tiltag </div>"
30,"<span class=""artDateTime"">28.07.2020</span>","<div class=""artDesc""> i en rigsretssag. Professoren har glemt, at man ikke skal præjudicere (fælde dom, før alle sagens aspekter er belyst). Den 25. juli kan <b>Kåre</b> <b>Mølbak</b> fra Statens Serum Institut fortælle, at han har en anden opfattelse af forløbet, end Søren Brostrøm har </div>"
31,"<span class=""artDateTime"">25.07.2020</span>","<div class=""artDesc""> Syddansk Universitet, til, at det i medierne i flere omgange er kommet frem, at regeringens to fremmeste sundhedsfaglige rådgivere, Søren Brostrøm, direktør i Sundhedsstyrelsen, og <b>Kåre</b> <b>Mølbak</b>, faglig direktør i Statens Serum Institut </div>"
32,"<span class=""artDateTime"">25.07.2020</span>","<div class=""artDesc"">, at det skete på myndighedernes anbefaling, og i en mail til Politiken skriver faglig direktør i Statens Serum Institut (SSI) <b>Kåre</b> <b>Mølbak</b>, at han dengang bakkede op om beslutningen. - For mig var det væsentligt, at regeringen var indstillet </div>"
33,"<span class=""artDateTime"">12.07.2020</span>","<div class=""artDesc""> invitation af 15.000 borgere til undersøgelse fra uge 34. Her vil de blive tilbudt test for både aktuel smitte og antistoffer, skriver faglig direktør <b>Kåre</b> <b>Mølbak</b> i det skriftlige svar. Det nye er, at man denne gang vil teste folk både for aktuel </div>"
34,"<span class=""artDateTime"">22.06.2020</span>","<div class=""artDesc""> af coronavirus, er sandsynlig. <b>Kåre</b> <b>Mølbak</b>, faglig direktør på Statens Serum Institut, sagde i maj på et pressemøde, at det var meget usandsynligt at se en egentlig anden bølge af coronavirus i Danmark. Det var modstridende med, hvad Statens Serum </div>"
35,"<span class=""artDateTime"">18.06.2020</span>","<div class=""artDesc"">Efter tre måneder med skrappe rejserestriktioner på grund af coronavirus har regeringen åbnet for, at danskere inden længe kan tage til udlandet og holde ferie. Ifølge <b>Kåre</b> <b>Mølbak</b>, der er faglig direktør i Statens Serum Institut (SSI), kan </div>"
36,"<span class=""artDateTime"">09.06.2020</span>","<div class=""artDesc""> Op til samrådet var <b>Kåre</b> <b>Mølbak</b>, direktør i Statens Serum Institut og landets øverste epidemiolog, trådt frem i et interview i Politiken, hvor han roste regeringens nedlukning, som han var »ret begejstret« for, da han hørte om den. Han fastslog </div>"
37,"<span class=""artDateTime"">09.06.2020</span>","<div class=""artDesc""> hvilken specifik myndighed, som anbefalede en så stor nedlukning, der kom. Og statsministeren tilføjede, at hun principielt ikke går ind i, ""hvilke ord der falder fra hvilke myndigheder"". Det linje fastholder Mette Frederiksen på samrådet. <b>Kåre</b> </div>"
38,"<span class=""artDateTime"">09.06.2020</span>","<div class=""artDesc""> var skeptisk over for skolelukninger og forsamlingsforbud, var <b>Kåre</b> <b>Mølbak</b> fra Statens Serum Institut begejstret, siger han nu. JP MENER: Rigtige medier har det hele med Det er glædeligt, at coronakrisen har givet de klassiske medier fornyet medvind </div>"
39,"<span class=""artDateTime"">09.06.2020</span>","<div class=""artDesc"">- Man skal handle, før man synes, det er nødvendigt. For venter man, til det er nødvendigt, vil det være for sent. Sådan lød det angiveligt fra direktøren i Statens Serum Institut, <b>Kåre</b> <b>Mølbak</b>, i tiden op til den omfattende nedlukning </div>"
