,date,text
0,"<span class=""artDateTime"">27.08.2020</span>","<div class=""artDesc""> coronaindlæggelser herhjemme. Sundheds- og ældreminister <b>Magnus</b> <b>Heunicke</b> (S) skrev tirsdag på Twitter, at kontakttallet var faldet til 0,8. Det betyder, at hver smittede i gennemsnittet smitter 0,8 personer Det vil sige, at antallet af smittede falder. </div>"
1,"<span class=""artDateTime"">27.08.2020</span>","<div class=""artDesc""> Beich. tool_DW_datakort_corona_smittede-seneste-7-dage »En god strategi« Sundhedsminister <b>Magnus</b> <b>Heunicke</b> forstår godt kritikken af de lange ventetider, men han er ikke indstillet på at lukke eller mindske adgangen for mennesker uden symptomer </div>"
2,"<span class=""artDateTime"">26.08.2020</span>","<div class=""artDesc""> Christensen. Hun opfordrer sundhedsminister <b>Magnus</b> <b>Heunicke</b> (S) og beskæftigelsesminister Peter Hummelgaard (S) til at sætte sig i spidsen for arbejdet med en national plan. 16.480 danskere har siden februar været konstateret smittet med coronavirus. </div>"
3,"<span class=""artDateTime"">26.08.2020</span>","<div class=""artDesc""> skal forældre ikke vente i telefonen hos egen læge for at få barnets prøvesvar. Med den nye visning på sundhed.dk kan forældre nu hurtigt finde frem til prøvesvaret digitalt«, siger sundheds- og ældreminister <b>Magnus</b> <b>Heunicke</b> i en pressemeddelelse </div>"
4,"<span class=""artDateTime"">25.08.2020</span>","<div class=""artDesc""> i den seneste uge, og noget tyder på, at epidemien igen er på tilbagetog herhjemme. Sundhedsminister <b>Magnus</b> <b>Heunicke</b> skriver tirsdag eftermiddag på Twitter, at kontakttallet - altså hvor mange én coronasmittet person i gennemsnittet smitter videre </div>"
5,"<span class=""artDateTime"">25.08.2020</span>","<div class=""artDesc"">Danmark har håndsprit nok til mere end to år liggende på de lagre, der skal forsyne sygehuse, sundhedsvæsen og plejehjem under coronakrisen. Det oplyste sundhedsminister <b>Magnus</b> <b>Heunicke</b> tirsdag under et samråd i Folketingets Sundheds </div>"
6,"<span class=""artDateTime"">25.08.2020</span>","<div class=""artDesc"">Kontakttallet er faldet til 0,8. Det skriver sundhedsminister <b>Magnus</b> <b>Heunicke</b> (S) på det sociale medie Twitter. Kontakttallet beskriver, hvor mange andre en coronasmittet i gennemsnit smitter - Stort skulderklap til alle, der følger </div>"
7,"<span class=""artDateTime"">24.08.2020</span>","<div class=""artDesc""> gennemføres i overensstemmelse med sundhedsmyndighedernes anbefalinger, når der åbnes for fysisk fremmøde, lyder det i pressemeddelelsen.Eleverne strejker og demonstrerer for at komme i skole På Facebook har sundheds- og ældreminister <b>Magnus</b> <b>Heunicke</b> </div>"
8,"<span class=""artDateTime"">23.08.2020</span>","<div class=""artDesc"">. Og det skal ikke være en mulighed for kommunerne – det skal være et krav,« siger hun, der nu igen vil forlange en forklaring af sundhedsminister <b>Magnus</b> <b>Heunicke</b>. På den modsatte side af folketingssalen er sundhedsordfører Peder Hvelplund fra Enhedslisten helt enig </div>"
9,"<span class=""artDateTime"">23.08.2020</span>","<div class=""artDesc"">- og ældreminister <b>Magnus</b> <b>Heunicke</b> i forbindelse med offentliggørelsen af aftalen. »En vaccine er et meget vigtigt redskab i indsatsen mod coronavirus og i bestræbelserne for, at vi kan vende tilbage til et normalt liv. Det har været højt prioriteret </div>"
