,date,text
0,"<span class=""artDateTime"">27.08.2020</span>","<div class=""artDesc"">Statsminister <b>Mette</b> <b>Frederiksen</b> (S) var meget klar, da hun i sidste uge satte retningen for regeringens udspil til et politiforlig. Politiet skulle tættere på borgerne, og der skulle sættes hårdt ind over for ""indvandrerdrenge"", der blandt </div>"
1,"<span class=""artDateTime"">27.08.2020</span>","<div class=""artDesc"">Statsminister <b>Mette</b> <b>Frederiksen</b> (S) var torsdag på besøg hos 3F i Kastrup. Her er nogle af de medarbejdere, der er blevet fyret som følge af tilbagegangen i luftfartsbranchen under coronakrisen, organiseret. Dem vil regeringen forsøge </div>"
2,"<span class=""artDateTime"">27.08.2020</span>","<div class=""artDesc"">Statsminister <b>Mette</b> <b>Frederiksen</b> (S) vil ikke kommentere situationen omkring den nu hjemsendte departementschef i Forsvarsministeriet og tidligere chef for Forsvarets Efterretningstjeneste Thomas Ahrenkiel, som 30. juni blev udpeget </div>"
3,"<span class=""artDateTime"">27.08.2020</span>","<div class=""artDesc"">Heller ikke Liberal Alliances leder, Alex Vanopslagh, blev i weekenden inviteret til en fortrolig orientering om skandalen i Forsvarets Efterretningstjeneste (FE) hos statsminister <b>Mette</b> <b>Frederiksen</b> (S). Det skriver Berlingske </div>"
4,"<span class=""artDateTime"">27.08.2020</span>","<div class=""artDesc""> planlagde et ""angreb på Venstre"". Blandt andet med ting fra forhandlingsrummet. Statsminister <b>Mette</b> <b>Frederiksen</b> (S) måtte beklage, og Venstre konstaterede, at tilliden til regeringen ""kan ligge på et meget lille sted"". </div>"
5,"<span class=""artDateTime"">27.08.2020</span>","<div class=""artDesc""> parter og regeringen forsøger i ellevte time at lande en jobdelingsordning for at afværge en fyringsbølge, når den populære ordning med lønkompensation udløber på lørdag. JP MENER: Løftebrud på løftebrud <b>Mette</b> <b>Frederiksen</b> lover at holde skatten </div>"
6,"<span class=""artDateTime"">26.08.2020</span>","<div class=""artDesc""><b>Mette</b> <b>Frederiksen</b> var ikke til at misforstå under en partilederdebat i maj: Regeringen vil ikke sætte skatterne op. »Det ville være et mærkværdigt svar til dansk erhvervsliv, der står i en rigtig, rigtig svær situation,« erklærede </div>"
7,"<span class=""artDateTime"">26.08.2020</span>","<div class=""artDesc""> var da også store. 29.500 partoutbilletter blev i december 2019 solgt i ny rekordtid – 59 minutter. Få måneder senere ramte coronapandemien – og den 6. april kl. 20 holdt statsminister <b>Mette</b> <b>Frederiksen</b> et coronapressemøde, hvor hun effektivt manede </div>"
8,"<span class=""artDateTime"">26.08.2020</span>","<div class=""artDesc"">, siger hun. Enhedslistens Søren Søndergaard er heller ikke umiddelbart så lun på idéen om at dele Kulturministeriet op. Han henviser dog til, at en sådan beslutning ligger hos statsminister <b>Mette</b> <b>Frederiksen</b> (S). Det har ikke været muligt </div>"
9,"<span class=""artDateTime"">26.08.2020</span>","<div class=""artDesc"">»Når vi nøgternt kigger på smittetallet, så er der ganske enkelt for mange mennesker med en ikkevestlig baggrund, som er smittet.« Sådan udtalte <b>Mette</b> <b>Frederiksen</b> på et pressemøde den 15. august som reaktion på den stigende smittespredning </div>"
10,"<span class=""artDateTime"">26.08.2020</span>","<div class=""artDesc""> var en lille smule forberedt, fordi statsminister <b>Mette</b> <b>Frederiksen</b> i weekenden havde inviteret dem til en orientering om sagen. Ikke alle var dog velkomne. For Enhedslisten og Alternativet bekræfter overfor B.T., at henholdsvis Pernille Skipper </div>"
