,date,text
0,"<span class=""artDateTime"">22.08.2020</span>","<div class=""artDesc""> efter Sundhedsstyrelsens anbefalinger havde de pakket deres mundbind i små blå fryseposer, og stolt fremførte de med fagter, hvordan de skulle påføres. Det havde de nemlig set forklaret af Sundhedsstyrelsens direktør, <b>Søren</b> <b>Brostrøm</b>. Håndspritten lå også klar </div>"
1,"<span class=""artDateTime"">18.08.2020</span>","<div class=""artDesc""> af stofmundbind, der »er bedre end intet mundbind«, fortæller direktør i Sundhedsstyrelsen <b>Søren</b> <b>Brostrøm</b>. Det skriver Videnskab.dk. Kirurgiske engangsmundbind er mest effektive til undgå smitte, men stofmundbind har den fordel, at de kan genbruges </div>"
2,"<span class=""artDateTime"">16.08.2020</span>","<div class=""artDesc""> med coronaen«, som statsminister Mette Frederiksen sagde på pressemødet lørdag, hvor hun samtidig lancerede det nye krav, som træder i kraft lørdag, om at bære mundbind i al offentlig transport. Sundhedsstyrelsens direktør, <b>Søren</b> <b>Brostrøm</b>, fik </div>"
3,"<span class=""artDateTime"">16.08.2020</span>","<div class=""artDesc"">, er vores politikere nødt til at blive skarpere i spyttet. Mundbind og plastichandsker flyder på havbunden Vores anbefaling til statsminister Mette Frederiksen og direktør i Sundhedsstyrelsen <b>Søren</b> <b>Brostrøm</b> er derfor klar: Tag venligst skyklapperne </div>"
4,"<span class=""artDateTime"">15.08.2020</span>","<div class=""artDesc"">Direktøren for Sundhedsstyrelsen, <b>Søren</b> <b>Brostrøm</b>, sagde det kort ved lørdagens pressemøde. Flere pendlere havde taget styrelsens anbefaling om at bære mundbind til sig. Men ikke alle var med. Vurderingen var ikke grebet ud af den blå luft </div>"
5,"<span class=""artDateTime"">15.08.2020</span>","<div class=""artDesc""> og flere lokale ophobninger. Nogle er under kontrol, og andre ser ud til at være ved at være det. - Stigningen fra sidste uge ser ud til at være bremset op i denne, siger hun. Sundhedsstyrelsens direktør, <b>Søren</b> <b>Brostrøm</b>, siger på pressemødet </div>"
6,"<span class=""artDateTime"">15.08.2020</span>","<div class=""artDesc"">, samt direktør i Sundhedsstyrelsen, <b>Søren</b> <b>Brostrøm</b>, og afdelingschef i Statens Serum Institut Tyra Grove Krause deltager. »Det har indtil nu været en anbefaling. Nu bliver det et krav,« siger Mette Frederiksen. Tiltaget træder i kraft lørdag </div>"
7,"<span class=""artDateTime"">14.08.2020</span>","<div class=""artDesc"">.00 i Spejlsalen i Statsministeriet. pressemøde mette Her vil Mette Frederiksen deltage, men der er ikke yderligere oplysninger om, hvorvidt eksempelvis <b>Søren</b> <b>Brostrøm</b> og Kåre Mølbak fra Statens Serum Institut vil deltage, som det har været tilfældet ved </div>"
8,"<span class=""artDateTime"">14.08.2020</span>","<div class=""artDesc"">. En hastegennemført lovgivning gør det muligt at straffe fire gange så hårdt som tidligere. Berlingske: En aktindsigt viser, at regeringen besluttede at lukke landet i marts uden at orientere Sundhedsstyrelsens direktør, <b>Søren</b> <b>Brostrøm</b>, før bagefter </div>"
9,"<span class=""artDateTime"">13.08.2020</span>","<div class=""artDesc"">E-mails peger på, at direktør i Sundhedsstyrelsen <b>Søren</b> <b>Brostrøm</b> og faglig direktør i Statens Serum Institut Kåre Mølbak tilsyneladende blot blev orienteret om den vidtgående nedlukning af samfundet, som statsminister Mette Frederiksen (S </div>"
10,"<span class=""artDateTime"">11.08.2020</span>","<div class=""artDesc"">Mandag eftermiddag holdt sundheds- og ældreminister Magnus Heunicke pressemøde sammen med bl. a. <b>Søren</b> <b>Brostrøm</b> fra Sundhedsstyrelsen og Kåre Mølbak fra Statens Serum Institut. Her oplyste ministeren, at der fremover anbefales brug </div>"
11,"<span class=""artDateTime"">11.08.2020</span>","<div class=""artDesc""> vil formentlig brede sig yderligere i den kommende tid, fastslog Sundhedsstyrelsens direktør, <b>Søren</b> <b>Brostrøm</b>, mandag. »Vi kan komme til at udvide kravet om mundbind fremover, hvis vi finder det nødvendigt. Det kan f.eks. være i supermarkeder, centre </div>"
12,"<span class=""artDateTime"">11.08.2020</span>","<div class=""artDesc""> for Sundhedsstyrelsen <b>Søren</b> <b>Brostrøm</b>: - Det er rigtigt, at vi har været på den tilbageholdende side, når det kommer til mundbind, sammenlignet med Sydeuropa og Storbritannien, der jo også har haft andre forløb. - Men nu tager vi også det værktøj </div>"
13,"<span class=""artDateTime"">11.08.2020</span>","<div class=""artDesc""> garanterer, at man ikke smitter hinanden, siger han. <b>Søren</b> <b>Brostrøm</b>, direktør i Sundhedsstyrelsen, oplyser til Ritzau, at der skal være en form for beskyttelse for buschaufførerne. Såfremt der ikke er eksempelvis et beskyttende plexiglas </div>"
